MaterialNr,SerialNr,CheckMode,TestSystem,Description,Date,Time,Error,ErrorCat,Duration,Duration.1,col_21,col_22,col_23
MatNr1,1001,PrMod3,TSys54,AB-2CD-7,31.08.2024,21:32:56,OK,OK,00:01:36,00:01:36,47.0,16.199999999999996,1.0
MatNr2,1002,PrMod2,TSys27,AB-2CD-6,31.08.2024,21:53:49,OK,OK,00:01:49,00:01:49,45.0,17.099999999999994,0.0
MatNr3,1003,PrMod2,TSys54,AB-2CD-2,31.08.2024,22:20:21,OK,OK,00:01:41,00:01:41,66.0,7.799999999999998,1.0
MatNr1,1004,PrMod3,TSys27,AB-3CD-5,31.08.2024,22:42:25,OK,OK,00:01:43,00:01:43,41.0,7.599999999999998,2.0
MatNr1,1005,PrMod4,TSys32,AB-1CD-3,31.08.2024,23:02:37,OK,OK,00:01:57,00:01:57,63.0,19.199999999999985,0.0
MatNr3,1006,PrMod2,TSys27,AB-2CD-8,31.08.2024,23:23:12,OK,OK,00:01:50,00:01:50,42.0,16.699999999999996,0.0
MatNr3,1007,PrMod4,TSys27,AB-2CD-6,31.08.2024,23:46:18,OK,OK,00:01:48,00:01:48,46.0,8.699999999999994,0.0
MatNr1,1008,PrMod1,TSys27,AB-2CD-6,01.09.2024,00:13:33,OK,OK,00:02:11,00:02:11,62.0,19.399999999999984,-4.18
MatNr3,1009,PrMod2,TSys27,AB-3CD-1,01.09.2024,00:37:47,OK,OK,00:02:08,00:02:08,60.0,7.599999999999998,2.0
MatNr1,1010,PrMod1,TSys54,AB-3CD-8,01.09.2024,01:00:51,OK,OK,00:01:55,00:01:55,45.0,18.299999999999986,0.0
MatNr3,1011,PrMod2,TSys27,AB-2CD-6,01.09.2024,01:23:59,OK,OK,00:02:17,00:02:17,41.0,26.08,2.0
MatNr2,1012,PrMod2,TSys54,AB-3CD-0,01.09.2024,01:46:33,OK,OK,00:01:28,00:01:28,62.0,8.499999999999995,0.0
MatNr3,1013,PrMod3,TSys32,AB-3CD-5,01.09.2024,02:06:17,OK,OK,00:01:45,00:01:45,63.0,8.799999999999994,0.0
MatNr3,1014,PrMod2,TSys54,AB-1CD-9,01.09.2024,02:30:33,OK,OK,00:01:53,00:01:53,-114.83,16.599999999999994,0.0
MatNr3,1015,PrMod2,TSys54,AB-1CD-0,01.09.2024,02:53:24,OK,OK,00:01:21,00:01:21,62.0,8.399999999999995,2.0
MatNr3,1016,PrMod1,TSys27,AB-1CD-7,01.09.2024,03:18:15,OK,OK,00:01:41,00:01:41,69.0,16.299999999999994,0.0
MatNr1,1017,PrMod1,TSys32,AB-3CD-3,01.09.2024,03:39:54,OK,OK,00:01:42,00:01:42,61.0,7.499999999999997,0.0
MatNr3,1018,PrMod4,TSys54,AB-1CD-3,01.09.2024,04:03:16,OK,OK,00:01:53,00:01:53,43.0,17.599999999999987,2.0
MatNr2,1019,PrMod4,TSys27,AB-3CD-5,01.09.2024,04:26:54,OK,OK,00:01:42,00:01:42,61.0,8.099999999999996,0.0
MatNr1,1020,PrMod4,TSys32,AB-3CD-8,01.09.2024,04:50:11,OK,OK,00:01:50,00:01:50,54.0,18.099999999999987,0.0
